id,sentiment
"12311_10",0.9985393285751343
"8348_2",0.004171529784798622
"5828_4",0.7271776795387268
"7186_2",0.02574036456644535
"12128_7",0.9852592945098877
"2913_8",0.9659779071807861
"4396_1",0.21984191238880157
"395_2",0.08452119678258896
"10616_1",0.002326643094420433
"9074_9",0.4834159016609192
"9252_3",0.014276820234954357
"9896_9",0.5861563682556152
"574_4",0.40476784110069275
"11182_8",0.71485835313797
"11656_4",0.03849641606211662
"2322_4",0.9080010652542114
"8703_1",0.011815658770501614
"7483_1",0.04167797788977623
"6007_10",0.9771290421485901
"12424_4",0.005735478829592466
"4672_1",0.013011123053729534
"10841_3",0.07481168955564499
"8954_7",0.890586793422699
"7392_1",0.01849145069718361
"10288_8",0.998826801776886
"5343_4",0.006644900888204575
"4950_1",0.00702766003087163
"9257_4",0.2680564522743225
"8689_3",0.007366630714386702
"4480_2",0.03191844001412392
"9286_10",0.9769645929336548
"12245_10",0.999139666557312
"7529_7",0.834057629108429
"4_4",0.03846099600195885
"5299_2",0.09394270181655884
"12077_8",0.7618986964225769
"10701_2",0.010069518350064754
"11579_1",0.018135754391551018
"10993_1",0.029979724436998367
"8913_1",0.8164232969284058
"1350_3",0.02543298713862896
"3804_2",0.008049394004046917
"5025_3",0.17852704226970673
"5170_8",0.9831997156143188
"8225_8",0.9964146614074707
"6427_7",0.9659976959228516
"3165_3",0.6405614614486694
"7902_9",0.9987010955810547
"8208_3",0.013876046985387802
"3577_8",0.9187328815460205
"4865_1",0.01058909296989441
"9063_3",0.8839572072029114
"1106_1",0.015538855455815792
"1117_9",0.9961596727371216
"1050_4",0.015315334312617779
"10755_9",0.9523682594299316
"2729_8",0.9298660755157471
"10072_10",0.9988493919372559
"2904_7",0.9956278800964355
"4584_2",0.9697590470314026
"189_4",0.006134579423815012
"6302_4",0.25736814737319946
"8138_9",0.9709030389785767
"1262_1",0.01161478366702795
"2199_10",0.9897450804710388
"6551_7",0.9933736324310303
"8082_7",0.4967227578163147
"4897_8",0.9973146319389343
"7360_1",0.021813713014125824
"11012_10",0.9095020890235901
"12046_1",0.7787938117980957
"2331_2",0.7127422094345093
"8961_9",0.9727239608764648
"751_7",0.9060755968093872
"9884_10",0.8432870507240295
"10016_8",0.9916690587997437
"8023_10",0.9758696556091309
"2628_1",0.010549638420343399
"5832_1",0.019488563761115074
"7302_1",0.019702747464179993
"4501_3",0.031158078461885452
"1121_7",0.8247606754302979
"8334_3",0.1549753099679947
"9789_10",0.17817385494709015
"4230_10",0.9956335425376892
"824_4",0.03023025393486023
